month,company,stock_market,stock_country,close,vaccaine,phase_1,phase_2,phase_3,authorized,approved,abandoned,US,roc,Number.of.Stocks,Market.Cap,cum_change
2,1,NASDAQ,USA,25.93,1,1,0,0,0,0,0,1,0.26,333250000,6834957500,0.26
3,1,NASDAQ,USA,29.95,1,1,1,0,0,0,0,1,0.16,368643000,9558912990,0.46
4,1,NASDAQ,USA,45.99,1,1,1,0,0,0,0,1,0.54,368643000,11040857850,1.24
5,1,NASDAQ,USA,61.5,1,1,1,0,0,0,0,1,0.34,368643000,16953891570,2
6,1,NASDAQ,USA,64.21,1,1,1,0,0,0,0,1,0.04,388824000,23912676000,2.13
7,1,NASDAQ,USA,74.1,1,1,1,1,0,0,0,1,0.15,388824000,24966389040,2.61
8,1,NASDAQ,USA,64.89,1,1,1,1,0,0,0,1,-0.12,388824000,28811858400,2.16
9,1,NASDAQ,USA,70.75,1,1,1,1,0,0,0,1,0.09,394587000,25604750430,2.45
10,1,NASDAQ,USA,67.47,1,1,1,1,0,0,0,1,-0.05,394587000,27917030250,2.29
11,1,NASDAQ,USA,152.74,1,1,1,1,0,0,0,1,1.26,395710000,26698553700,6.45
12,1,NASDAQ,USA,104.47,1,1,1,1,0,0,0,1,-0.32,395710000,60440745400,4.09
13,1,NASDAQ,USA,173.16,1,1,1,1,1,0,0,1,0.66,395710000,41339823700,7.44
14,1,NASDAQ,USA,154.81,1,1,1,1,1,0,0,1,-0.11,395710000,68521143600,6.55
15,1,NASDAQ,USA,130.95,1,1,1,1,1,0,0,1,-0.15,395710000,61259865100,5.38
16,1,NASDAQ,USA,178.82,1,1,1,1,1,0,0,1,0.37,400525000,52448748750,7.72
17,1,NASDAQ,USA,185.01,1,1,1,1,1,0,0,1,0.03,400525000,71621880500,8.02
18,1,NASDAQ,USA,234.98,1,1,1,1,1,0,0,1,0.27,401528000,74286695280,10.46
19,1,NASDAQ,USA,353.6,1,1,1,1,1,0,0,1,0.5,401528000,94351049440,16.24
20,1,NASDAQ,USA,376.69,1,1,1,1,1,1,0,1,0.07,401528000,141980000000,17.37
21,1,NASDAQ,USA,384.86,1,1,1,1,1,1,0,1,0.02,403646000,152049000000,17.76
22,1,NASDAQ,USA,332.11,1,1,1,1,1,1,0,1,-0.14,403646000,155347000000,15.19
2,2,NYSE,USA,31.71,1,1,0,0,0,0,0,1,-0.1,5534122000,206091000000,-0.1
3,2,NYSE,USA,30.97,1,1,0,0,0,0,0,1,-0.02,5534122000,184950000000,-0.12
4,2,NYSE,USA,36.39,1,1,0,0,0,0,0,1,0.18,5547639000,181075000000,0.03
5,2,NYSE,USA,36.23,1,1,0,0,0,0,0,1,0,5547639000,212807000000,0.03
6,2,NYSE,USA,31.02,1,1,0,0,0,0,0,1,-0.14,5554834000,212139000000,-0.12
7,2,NYSE,USA,36.51,1,1,1,0,0,0,0,1,0.18,5554834000,181643000000,0.03
8,2,NYSE,USA,35.85,1,1,1,0,0,0,0,1,-0.02,5554834000,213750000000,0.01
9,2,NYSE,USA,34.82,1,1,1,0,0,0,0,1,-0.03,5556880000,209994000000,-0.01
10,2,NYSE,USA,33.66,1,1,1,0,0,0,0,1,-0.03,5556880000,203937000000,-0.05
11,2,NYSE,USA,38.31,1,1,1,0,0,0,0,1,0.14,5556880000,197158000000,0.08
12,2,NYSE,USA,36.81,1,1,1,1,0,0,0,1,-0.04,5558397000,212942000000,0.04
13,2,NYSE,USA,35.9,1,1,1,1,1,0,0,1,-0.02,5558397000,204605000000,0.02
14,2,NYSE,USA,33.49,1,1,1,1,1,0,0,1,-0.07,5558397000,199546000000,-0.05
15,2,NYSE,USA,36.23,1,1,1,1,1,0,0,1,0.08,5577629000,186795000000,0.03
16,2,NYSE,USA,38.65,1,1,1,1,1,0,0,1,0.07,5578164000,202097000000,0.09
17,2,NYSE,USA,38.73,1,1,1,1,1,0,0,1,0,5578164000,215596000000,0.1
18,2,NYSE,USA,39.16,1,1,1,1,1,0,0,1,0.01,5597694000,216799000000,0.11
19,2,NYSE,USA,42.81,1,1,1,1,1,0,0,1,0.09,5597694000,219206000000,0.21
20,2,NYSE,USA,46.07,1,1,1,1,1,0,0,1,0.08,5597694000,239637000000,0.3
21,2,NYSE,USA,43.01,1,1,1,1,1,1,0,1,-0.07,5606688000,258300000000,0.22
22,2,NYSE,USA,42.32,1,1,1,1,1,1,0,1,-0.02,5606688000,241144000000,0.2
2,3,NASDAQ,USA,35.1,1,1,0,0,0,0,0,1,0.2,226780000,6624243800,0.2
3,3,NASDAQ,USA,58.4,1,1,0,0,0,0,0,1,0.66,226780000,7959978000,1
4,3,NASDAQ,USA,47.48,1,1,0,0,0,0,0,1,-0.19,226780000,13243952000,0.63
5,3,NASDAQ,USA,49.53,1,1,0,0,0,0,0,1,0.04,226780000,10767514400,0.7
6,3,NASDAQ,USA,66.74,1,1,0,0,0,0,0,1,0.35,228605000,11322805650,1.28
7,3,NASDAQ,USA,82.11,1,1,1,0,0,0,0,1,0.23,228605000,15257097700,1.81
8,3,NASDAQ,USA,61.25,1,1,1,0,0,0,0,1,-0.25,238173000,19556385030,1.1
9,3,NASDAQ,USA,69.23,1,1,1,0,0,0,0,1,0.13,238173000,14588096250,1.37
10,3,NASDAQ,USA,85.36,1,1,1,0,0,0,0,1,0.23,238173000,16488716790,1.92
11,3,NASDAQ,USA,124.24,1,1,1,0,0,0,0,1,0.46,238173000,20330447280,3.25
12,3,NASDAQ,USA,81.52,1,1,1,1,0,0,0,1,-0.34,238173000,29590613520,1.79
13,3,NASDAQ,USA,116.94,1,1,1,1,1,0,0,1,0.43,238173000,19415862960,3
14,3,NASDAQ,USA,109.03,1,1,1,1,1,0,0,1,-0.07,238173000,27851950620,2.73
15,3,NASDAQ,USA,109.19,1,1,1,1,1,0,0,1,0,238173000,25968002190,2.74
16,3,NASDAQ,USA,188.28,1,1,1,1,1,0,0,1,0.72,238173000,26006109870,5.45
17,3,NASDAQ,USA,204,1,1,1,1,1,0,0,1,0.08,238173000,44843212440,5.98
18,3,NASDAQ,USA,223.88,1,1,1,1,1,0,0,1,0.1,238173000,48587292000,6.66
19,3,NASDAQ,USA,328.35,1,1,1,1,1,0,0,1,0.47,238173000,53322171240,10.24
20,3,NASDAQ,USA,329.19,1,1,1,1,1,0,0,1,0,238173000,78204104550,10.27
21,3,NASDAQ,USA,272.99,1,1,1,1,1,1,0,1,-0.17,238173000,78404169870,8.35
22,3,NASDAQ,USA,250.12,1,1,1,1,1,1,0,1,-0.08,238173000,65018847270,7.56
2,6,SHE,China,28.6,0,0,0,0,0,0,0,0,0.01,1537436984,5695115626,0.01
3,6,SHE,China,31.66,0,0,0,0,0,0,0,0,0.11,1537436984,6474227609,0.12
4,6,SHE,China,40.53,0,0,0,0,0,0,0,0,0.28,1537436984,6802348006,0.44
5,6,SHE,China,42.12,0,0,0,0,0,0,0,0,0.04,1537436984,8800120778,0.49
6,6,SHE,China,52.4,1,1,0,0,0,0,0,0,0.24,1537436984,9351956551,0.86
7,6,SHE,China,80.86,1,1,0,0,0,0,0,0,0.54,1537436984,11240913556,1.86
8,6,SHE,China,63.8,1,1,0,0,0,0,0,0,-0.21,1537436984,19127732234,1.26
9,6,SHE,China,50.81,1,1,0,0,0,0,0,0,-0.2,1537436984,13742981442,0.8
10,6,SHE,China,49.68,1,1,0,0,0,0,0,0,-0.02,1543451984,11524738659,0.76
11,6,SHE,China,42.9,1,1,0,0,0,0,0,0,-0.14,1543451984,11220624434,0.52
12,6,SHE,China,38.56,1,1,0,0,0,0,0,0,-0.1,1543451984,10238761923,0.37
13,6,SHE,China,39.6,1,1,1,0,0,0,0,0,0.03,1543451984,9100044204,0.4
14,6,SHE,China,45.81,1,1,1,0,0,0,0,0,0.16,1543451984,10295504239,0.62
15,6,SHE,China,45.19,1,1,1,0,0,0,0,0,-0.01,1543451984,11160095746,0.6
16,6,SHE,China,62.5,1,1,1,1,0,0,0,0,0.38,1546237084,10784291463,1.21
17,6,SHE,China,70.16,1,1,1,1,0,0,0,0,0.12,1546237084,14817426355,1.48
18,6,SHE,China,61.7,1,1,1,1,0,0,0,0,-0.12,1546237084,16795877933,1.18
19,6,SHE,China,85.99,1,1,1,1,0,0,0,0,0.39,1546237084,14473617060,2.04
20,6,SHE,China,77.7,1,1,1,1,0,0,0,0,-0.1,1546237084,20735609408,1.75
21,6,SHE,China,63.18,1,1,1,1,0,0,0,0,-0.19,1566186984,19415118557,1.24
22,6,SHE,China,63.18,1,1,1,1,0,0,0,0,0,1581524784,15473817254,1.24
2,7,NASDAQ,USA,13.85,0,0,0,0,0,0,0,1,0.34,15138000,155921400,0.34
3,7,NASDAQ,USA,13.59,0,0,0,0,0,0,0,1,-0.02,15138000,209661300,0.32
4,7,NASDAQ,USA,34.5,0,0,0,0,0,0,0,1,1.54,15138000,205725420,2.35
5,7,NASDAQ,USA,38.94,0,0,0,0,0,0,0,1,0.13,19873000,685618500,2.78
